Timestamp,Acc_X,Acc_Y,Acc_Z,DB_Level
1771621714282,0.0000,0.0000,0.0000,0.00
1771621714488,-0.7430,0.0245,-0.2504,0.00
1771621714696,-0.0389,-0.7128,0.7057,0.00
1771621714904,1.2313,0.1384,-0.1567,0.00
1771621715116,-0.5564,1.0004,-0.4023,0.00
1771621715159,-0.5564,1.0004,-0.4023,63.25
1771621715308,-0.5564,1.0004,-0.4023,52.28
1771621715319,0.4382,1.1560,-0.6900,52.28
1771621715475,0.4382,1.1560,-0.6900,50.71
1771621715527,0.6737,-0.2602,0.6262,50.71
1771621715611,0.6737,-0.2602,0.6262,35.12
1771621715752,0.6737,-0.2602,0.6262,33.44
1771621715755,-0.5343,0.5260,-0.1095,33.44
1771621715892,-0.5343,0.5260,-0.1095,33.80
1771621715943,-0.2224,0.2735,-0.1529,33.80
1771621716040,-0.2224,0.2735,-0.1529,32.26
1771621716152,1.3654,0.5170,-0.0621,32.26
1771621716180,1.3654,0.5170,-0.0621,37.50
1771621716321,1.3654,0.5170,-0.0621,31.13
1771621716363,1.0167,0.0176,-0.3863,31.13
1771621716477,1.0167,0.0176,-0.3863,28.30
1771621716572,0.6723,0.1260,-0.3105,28.30
1771621716626,0.6723,0.1260,-0.3105,29.25
1771621716766,0.6723,0.1260,-0.3105,28.94
1771621716774,0.5541,-0.0095,-0.2921,28.94
1771621716911,0.5541,-0.0095,-0.2921,32.87
1771621716982,0.4949,0.0744,-0.2342,32.87
1771621717042,0.4949,0.0744,-0.2342,31.36
1771621717194,0.4949,0.0744,-0.2342,29.25
1771621717197,0.3182,-0.1339,-0.1078,29.25
1771621717336,0.3182,-0.1339,-0.1078,31.13
1771621717397,0.3178,-0.0320,-0.1109,31.13
1771621717483,0.3178,-0.0320,-0.1109,34.81
1771621717611,0.6169,-0.3417,-0.3319,34.81
1771621717634,0.6169,-0.3417,-0.3319,58.37
1771621717788,0.6169,-0.3417,-0.3319,59.68
1771621717822,12.6471,-5.7554,10.5179,59.68
